PLAYER_NAME,TEAM_ABBREVIATION,PTS,REB,AST,PLUS_MINUS,PLAYER_ID
De'Andre Hunter,ATL,891,222,87,-49,1629631
De'Anthony Melton,PHI,421,141,114,218,1629001
DeAndre Jordan,DEN,142,157,26,-88,201599
DeJon Jarreau,MEM,43,44,26,-24,1630610
DeMar DeRozan,CHI,1897,340,421,-62,201942
Dean Wade,CLE,291,218,43,177,1629731
Deandre Ayton,POR,920,609,90,-318,1629028
Dejounte Murray,ATL,1753,416,502,-154,1627749
Delon Wright,MIA,210,86,119,13,1626153
Deni Avdija,WAS,1102,540,286,-329,1630166
Dennis Schröder,BKN,1122,242,488,-126,203471
Dennis Smith Jr.,BKN,369,164,203,-36,1628372
Dereck Lively II,DAL,483,378,60,144,1641726
Dereon Seabron,NOP,14,7,5,28,1631220
Derrick Jones Jr.,DAL,657,250,75,55,1627884
Derrick Rose,MEM,191,45,78,-33,201565
Derrick White,BOS,1107,310,377,619,1628401
Desmond Bane,MEM,997,185,230,-201,1630217
Devin Booker,PHX,1841,308,472,316,1626164
Devin Vassell,SAS,1323,261,277,-291,1630170
Devonte' Graham,SAS,114,36,49,23,1628984
Dexter Dennis,DAL,22,9,4,-9,1641926
Dillon Brooks,HOU,915,246,119,-21,1628415
Dmytro Skapintsev,NYK,0,0,0,0,1631376
Domantas Sabonis,SAC,1593,1120,673,69,1627734
Dominick Barlow,SAS,144,113,36,-32,1631230
Donovan Mitchell,CLE,1463,280,333,325,1628378
Donte DiVincenzo,NYK,1259,297,216,162,1628978
Dorian Finney-Smith,BKN,580,317,107,-107,1627827
Doug McDermott,IND,351,59,70,-143,203926
Draymond Green,GSW,475,398,332,171,203110
Drew Eubanks,PHX,379,322,63,-106,1629234
Drew Peterson,BOS,11,1,1,8,1641809
Dru Smith,MIA,39,14,14,-43,1630696
Duncan Robinson,MIA,875,173,192,38,1629130
Duop Reath,POR,617,250,67,-188,1641871
Dwight Powell,DAL,208,214,84,3,203939
Dylan Windler,ATL,43,16,10,-16,1629685
Dyson Daniels,NOP,354,236,164,71,1630700
Dāvis Bertāns,CHA,290,61,35,-74,202722
E.J. Liddell,NOP,4,5,1,-4,1630604
Emoni Bates,CLE,41,14,10,-84,1641734
Eric Gordon,PHX,749,122,139,131,201569
Eugene Omoruyi,WAS,207,85,35,-138,1630647
Evan Fournier,DET,220,58,48,-140,203095
Evan Mobley,CLE,785,468,160,33,1630596
Filip Petrusev,SAC,3,1,0,6,1630196
Frank Ntilikina,CHA,5,6,4,-1,1628373
Franz Wagner,ORL,1421,381,269,204,1630532
Fred VanVleet,HOU,1270,278,589,183,1627832
Furkan Korkmaz,PHI,88,30,25,45,1627788
GG Jackson,MEM,699,196,59,-194,1641713
Gabe Vincent,LAL,34,9,21,31,1629216
Garrett Temple,TOR,88,45,28,-79,202066
Garrison Mathews,ATL,325,92,37,-97,1629726
Gary Harris,ORL,372,91,87,91,203914
Gary Payton II,GSW,240,113,48,83,1627780
Gary Trent Jr.,TOR,974,188,119,-194,1629018
Georges Niang,CLE,768,278,98,31,1627777
Giannis Antetokounmpo,MIL,2222,841,476,339,203507
Goga Bitadze,ORL,311,286,79,26,1629048
Gordon Hayward,OKC,500,181,158,-134,202330
Gradey Dick,TOR,510,132,68,-378,1641711
Grant Williams,CHA,784,318,174,-244,1629684
Grayson Allen,PHX,1014,295,227,262,1628960
Greg Brown III,DAL,15,9,4,-9,1630535
Gui Santos,GSW,82,49,14,16,1630611
Hamidou Diallo,WAS,2,2,1,4,1628977
Harrison Barnes,SAC,1000,249,99,-80,203084
Harry Giles III,LAL,56,30,6,-41,1628385
Haywood Highsmith,MIA,405,210,70,7,1629312
Henri Drell,CHI,11,4,4,6,1630929
Herbert Jones,NOP,837,272,199,231,1630529
Hunter Tyson,DEN,20,9,2,8,1641816
Ibou Badji,POR,34,51,13,-90,1630641
Immanuel Quickley,TOR,1156,259,331,-34,1630193
Isaac Okoro,CLE,647,206,132,40,1630171
Isaiah Hartenstein,NYK,582,626,188,406,1628392
Isaiah Jackson,IND,383,238,50,29,1630543
Isaiah Joe,OKC,636,180,99,352,1630198
Isaiah Livers,DET,114,48,25,-199,1630587
Isaiah Mobley,CLE,23,10,6,-30,1630600
Isaiah Stewart,DET,503,305,73,-133,1630191
Isaiah Thomas,PHX,8,0,3,-14,202738
Isaiah Wong,IND,2,0,0,-5,1631209
Ish Smith,CHA,139,76,145,-280,202397
Ish Wainright,PHX,23,14,1,-4,1630688
Ivica Zubac,LAC,794,626,93,184,1627826
Izaiah Brockington,NOP,4,2,0,3,1631167
JD Davison,BOS,16,10,10,23,1631120
JT Thor,CHA,199,146,29,-49,1630550
Ja Morant,MEM,226,50,73,11,1629630
JaVale McGee,SAC,185,126,17,7,201580
Jabari Smith Jr.,HOU,1044,616,121,-84,1631095
Jabari Walker,POR,638,508,71,-338,1631133
Jack White,MEM,6,12,1,-28,1631298
Jacob Gilyard,BKN,173,46,137,-172,1631367
Jacob Toppin,NYK,13,7,3,-16,1631210
Jaden Hardy,DAL,530,131,109,-126,1630702
Jaden Ivey,DET,1185,264,296,-350,1631093
Jaden McDaniels,MIN,757,224,101,156,1630183
Jaden Springer,BOS,163,78,44,-28,1630531
Jae Crowder,MIL,312,161,66,-69,203109
Jae'Sean Tate,HOU,265,197,64,78,1630256
Jahmi'us Ramsey,TOR,47,22,8,-28,1630186
Jaime Jaquez Jr.,MIA,889,285,195,108,1631170
Jake LaRavia,MEM,379,128,58,-114,1631222
Jakob Poeltl,TOR,555,429,127,-17,1627751
Jalen Brunson,NYK,2212,278,519,512,1628973
Jalen Crutcher,NOP,0,0,0,1,1630622
Jalen Duren,DET,841,709,147,-311,1631105
Jalen Green,HOU,1610,423,291,31,1630224
Jalen Hood-Schifino,LAL,34,13,8,-54,1641720
Jalen Johnson,ATL,896,488,203,-76,1630552
Jalen McDaniels,TOR,169,79,37,-162,1629667
Jalen Pickett,DEN,42,14,21,-1,1629618
Jalen Slawson,SAC,8,7,2,-6,1641771
Jalen Smith,IND,601,337,63,-13,1630188
Jalen Suggs,ORL,943,229,205,45,1630591
Jalen Williams,OKC,1355,282,322,383,1631114
Jalen Wilson,BKN,214,131,45,-4,1630592
Jamal Cain,MIA,97,37,10,-27,1631288
Jamal Murray,DEN,1250,242,384,311,1627750
Jamaree Bouyea,SAS,21,19,11,-15,1631123
James Bouknight,CHA,50,9,6,-11,1630547
James Harden,LAC,1192,369,614,291,201935
James Johnson,IND,8,4,8,5,201949
James Wiseman,DET,446,336,54,-325,1630164
Jarace Walker,IND,120,63,40,19,1641716
Jared Butler,WAS,251,58,126,-48,1630215
Jared Rhoden,DET,83,33,14,-39,1631197
Jaren Jackson Jr.,MEM,1486,365,154,-340,1628991
Jarred Vanderbilt,LAL,150,138,36,43,1629020
Jarrett Allen,CLE,1271,811,210,201,1628386
Jason Preston,UTA,12,17,16,23,1630554
Javon Freeman-Liberty,TOR,153,70,40,-159,1631241
Javonte Green,CHI,110,67,5,28,1629750
Javonte Smart,PHI,0,0,0,-3,1630606
Jaxson Hayes,LAL,303,211,33,-107,1629637
Jay Huff,DEN,23,11,2,-9,1630643
Jaylen Brown,BOS,1610,387,249,413,1627759
Jaylen Nowell,DET,81,24,19,-33,1629669
Jaylin Williams,OKC,276,234,110,124,1631119
Jayson Tatum,BOS,1987,601,364,608,1628369
Jeff Dowtin Jr.,PHI,52,20,27,21,1630288
Jeff Green,HOU,509,178,70,-77,201145
Jerami Grant,POR,1132,191,152,-351,203924
Jeremiah Robinson-Earl,NOP,115,76,21,-22,1630526
Jeremy Sochan,SAS,861,476,249,-344,1631110
Jericho Sims,NYK,92,147,25,-10,1630579
Jermaine Samuels Jr.,HOU,20,13,3,-13,1631257
Jerome Robinson,GSW,31,6,5,27,1629010
Jett Howard,ORL,29,7,6,4,1641724
Jevon Carter,CHI,357,60,94,27,1628975
Jimmy Butler III,MIA,1246,318,298,215,202710
Jock Landale,HOU,274,172,65,161,1629111
Joe Harris,DET,39,13,10,-48,203925
Joe Ingles,ORL,296,142,203,165,204060
Joel Embiid,PHI,1353,430,219,267,203954
John Collins,UTA,1027,575,77,-307,1628381
John Konchar,MEM,235,257,110,-151,1629723
Johnny Davis,WAS,152,72,32,-150,1631098
Johnny Juzang,UTA,144,36,23,-8,1630548
Jonas Valančiūnas,NOP,1002,721,173,158,202685
Jonathan Isaac,ORL,393,260,30,182,1628371
Jonathan Kuminga,GSW,1188,355,163,125,1630228
Jontay Porter,TOR,115,82,60,-72,1629007
Jordan Clarkson,UTA,942,188,277,-191,203903
Jordan Ford,SAC,12,2,2,14,1630259
Jordan Goodwin,MEM,368,253,155,-93,1630692
Jordan Hawkins,NOP,524,148,70,12,1641722
Jordan McLaughlin,MIN,195,72,110,155,1629162
Jordan Miller,LAC,13,5,0,-13,1641757
Jordan Nwora,TOR,364,149,62,-199,1629670
Jordan Poole,WAS,1356,212,343,-552,1629673
Jordan Walsh,BOS,15,20,5,47,1641775
Jose Alvarado,NOP,397,128,117,240,1630631
Josh Giddey,OKC,986,514,386,376,1630581
Josh Green,DAL,469,184,130,-100,1630182
Josh Hart,NYK,761,675,331,346,1628404
Josh Minott,MIN,50,17,8,20,1631169
Josh Okogie,PHX,277,154,64,6,1629006
Josh Richardson,MIA,425,121,105,-107,1626196
Joshua Primo,LAC,2,1,0,-1,1630563
Jrue Holiday,BOS,860,373,333,427,201950
Juan Toscano-Anderson,SAC,7,14,4,-9,1629308
Jules Bernard,WAS,74,26,16,26,1631262
Julian Champagnie,SAS,504,206,103,-141,1630577
Julian Phillips,CHI,89,36,13,-4,1641763
Julian Strawther,DEN,227,61,47,-103,1631124
Julius Randle,NYK,1102,423,229,218,203944
Justin Champagnie,WAS,89,53,19,-59,1630551
Justin Holiday,DEN,234,71,67,55,203200
Justin Jackson,MIN,0,0,0,0,1628382
Justin Minaya,POR,61,56,21,-81,1631303
Jusuf Nurkić,PHX,829,837,301,404,203994
KJ Martin,PHI,224,131,51,-7,1630231
Kaiser Gates,NOP,0,1,0,-2,1629232
Karl-Anthony Towns,MIN,1349,515,189,321,1626157
Kawhi Leonard,LAC,1613,416,244,392,202695
Keegan Murray,SAC,1172,420,129,138,1631099
Keita Bates-Diop,BKN,197,110,38,-55,1628966
Keldon Johnson,SAS,1084,377,195,-347,1629640
Kelly Olynyk,TOR,762,411,347,-262,203482
Kelly Oubre Jr.,PHI,1049,341,101,-25,1626162
Kendall Brown,IND,21,5,5,-24,1631112
Kenneth Lofton Jr.,UTA,96,38,33,-11,1631254
Kenrich Williams,OKC,325,209,93,152,1629026
Kentavious Caldwell-Pope,DEN,766,183,183,572,203484
Keon Ellis,SAC,310,124,85,93,1631165
Keon Johnson,BKN,31,7,3,-25,1630553
Kessler Edwards,SAC,93,42,15,-45,1630556
Kevin Durant,PHX,2032,495,378,291,201142
Kevin Huerter,SAC,655,224,166,75,1628989
Kevin Knox II,DET,223,75,23,-85,1628995
Kevin Love,MIA,485,338,115,109,201567
Kevon Harris,ORL,4,2,1,0,1630284
Kevon Looney,GSW,334,419,133,38,1626172
Keyontae Johnson,OKC,11,10,4,-7,1641749
Keyonte George,UTA,974,211,332,-374,1641718
Khris Middleton,MIL,828,257,292,125,203114
Killian Hayes,DET,289,119,205,-244,1630165
Kira Lewis Jr.,UTA,89,26,37,-67,1630184
Klay Thompson,GSW,1375,254,176,7,202691
Kobe Brown,LAC,89,62,25,-92,1641738
Kobe Bufkin,ATL,81,33,27,-35,1641723
Kobi Simmons,TOR,20,7,12,-31,1628424
Kris Dunn,UTA,357,189,254,14,1627739
Kris Murray,POR,376,224,80,-164,1631200
Kristaps Porziņģis,BOS,1145,409,115,417,204001
Kyle Anderson,MIN,506,273,331,167,203937
Kyle Kuzma,WAS,1553,464,296,-562,1628398
Kyle Lowry,PHI,487,194,253,2,200768
Kyrie Irving,DAL,1487,290,299,277,202681
LaMelo Ball,CHA,526,113,176,-139,1630163
Lamar Stevens,MEM,272,127,28,9,1630205
Landry Shamet,WAS,327,62,54,-149,1629013
Larry Nance Jr.,NOP,350,307,113,71,1626204
Lauri Markkanen,UTA,1278,449,110,21,1628374
LeBron James,LAL,1822,518,589,218,2544
Leaky Black,CHA,69,48,24,-27,1641778
Leonard Miller,MIN,29,20,8,8,1631159
Lester Quinones,GSW,164,72,36,17,1631311
Lindell Wigginton,MIL,6,0,0,-10,1629623
Lindy Waters III,OKC,137,40,24,-35,1630322
Lonnie Walker IV,BKN,565,127,74,5,1629022
Luguentz Dort,OKC,860,284,113,347,1629652
Luka Dončić,DAL,2370,647,686,319,1629029
Luka Garza,MIN,99,31,4,7,1630568
Luka Samanic,UTA,177,102,19,-51,1629677
Luke Kennard,MEM,429,113,136,-187,1628379
Luke Kornet,BOS,334,261,67,218,1628436
Malachi Flynn,DET,380,114,130,-179,1630201
Malaki Branham,SAS,690,148,156,-373,1631103
Malcolm Brogdon,POR,613,148,214,-81,1627763
Malcolm Cazalon,DET,0,0,0,5,1630608
Malik Beasley,MIL,889,290,108,291,1627736
Malik Monk,SAC,1110,212,370,10,1628370
Malik Williams,TOR,19,38,2,-56,1642013
Mamadi Diakite,NYK,12,4,2,3,1629603
Maozinha Pereira,MEM,48,37,2,9,1641970
MarJon Beauchamp,MIL,211,99,31,-12,1630699
Marcus Morris Sr.,CLE,316,134,36,-60,202694
Marcus Sasser,DET,586,125,236,-250,1631204
Marcus Smart,MEM,289,53,86,-20,203935
Mark Williams,CHA,242,184,22,-21,1631109
Markelle Fultz,ORL,335,138,120,13,1628365
Markieff Morris,DAL,66,39,16,-57,202693
Markquis Nowell,TOR,2,2,2,4,1641806
Marques Bolden,CHA,37,34,4,-16,1629716
Marvin Bagley III,WAS,583,312,55,-137,1628963
Mason Jones,SAC,7,5,5,-7,1630222
Mason Plumlee,LAC,244,234,55,11,203486
Matisse Thybulle,POR,354,136,90,-232,1629680
Matt Hurt,MEM,32,16,4,-12,1630562
Matt Ryan,NOP,152,40,18,13,1630346
Max Christie,LAL,284,142,60,-17,1631108
Max Strus,CLE,853,338,283,254,1629622
Maxi Kleber,DAL,191,143,68,124,1628467
Maxwell Lewis,LAL,11,4,6,-73,1641721
Micah Potter,UTA,53,43,6,-28,1630695
Michael Porter Jr.,DEN,1356,565,122,472,1629008
Mikal Bridges,BKN,1606,372,299,-185,1628969
Mike Conley,MIN,869,218,449,274,201144
Mike Muscala,OKC,157,125,37,-90,203488
Miles Bridges,CHA,1449,505,231,-633,1628970
Miles McBride,NYK,562,100,114,-16,1630540
Mitchell Robinson,NYK,173,263,18,13,1629011
Mo Bamba,PHI,253,238,41,-47,1628964
Monté Morris,MIN,164,57,69,86,1628420
Moritz Wagner,ORL,868,347,96,93,1629021
Moses Brown,POR,75,86,7,-59,1629650
Moses Moody,GSW,533,196,57,99,1630541
Mouhamadou Gueye,TOR,26,23,5,-80,1631338
Mouhamed Gueye,ATL,24,22,4,-41,1631243
Moussa Diabaté,LAC,29,24,4,-2,1631217
Myles Turner,IND,1313,533,100,220,1626167
Naji Marshall,NOP,466,240,128,205,1630230
Nassir Little,PHX,152,75,21,-88,1629642
Nate Hinton,HOU,33,22,10,13,1630207
Nate Williams,HOU,63,23,7,23,1631466
Nathan Mensah,CHA,33,65,9,-133,1641877
Naz Reid,MIN,1090,423,106,248,1629675
Neemias Queta,BOS,154,122,20,135,1629674
Nic Claxton,BKN,841,706,147,-278,1629651
Nick Richards,CHA,652,539,54,-429,1630208
Nick Smith Jr.,CHA,302,72,59,-194,1641733
Nickeil Alexander-Walker,MIN,655,167,204,312,1629638
Nicolas Batum,PHI,320,248,128,177,201587
Nikola Jokić,DEN,2085,976,708,682,203999
Nikola Jović,MIA,352,192,90,149,1631107
Nikola Vučević,CHI,1370,801,254,-180,202696
Noah Clowney,BKN,133,81,18,-54,1641730
Norman Powell,LAC,1056,195,82,212,1626181
OG Anunoby,NYK,733,208,107,390,1628384
Obi Toppin,IND,843,320,128,141,1630167
Ochai Agbaji,TOR,455,216,83,-250,1630534
Olivier Sarr,OKC,34,36,2,1,1630846
Olivier-Maxence Prosper,DAL,121,79,22,-86,1641765
Omer Yurtseven,UTA,222,208,29,-133,1630209
Onuralp Bitim,CHI,80,32,13,-45,1641931
Onyeka Okongwu,ATL,561,376,74,-34,1630168
Orlando Robinson,MIA,99,84,34,12,1631115
Oscar Tshiebwe,IND,26,16,2,14,1631131
Oshae Brissett,BOS,201,160,44,114,1629052
Otto Porter Jr.,TOR,39,29,8,22,203490
Ousmane Dieng,OKC,133,51,37,1,1631172
P.J. Tucker,LAC,52,85,16,-24,200782
P.J. Washington,DAL,939,411,141,-133,1629023
Paolo Banchero,ORL,1804,554,431,1,1631094
Pascal Siakam,IND,1737,565,342,113,1627783
Pat Connaughton,MIL,428,239,161,-14,1626192
Pat Spencer,GSW,4,4,5,-6,1630311
Patrick Baldwin Jr.,WAS,168,123,29,-23,1631116
Patrick Beverley,MIL,451,239,212,-61,201976
Patrick Williams,CHI,429,166,66,-14,1630172
Patty Mills,MIA,127,35,34,6,201988
Paul George,LAC,1671,388,262,461,202331
Paul Reed,PHI,600,488,109,96,1630194
Payton Pritchard,BOS,787,265,281,449,1630202
Pete Nance,CLE,3,3,0,-23,1631250
Peyton Watson,DEN,532,258,86,-69,1631212
Precious Achiuwa,NYK,565,487,97,-47,1630173
Quentin Grimes,DET,359,100,66,-39,1629656
Quenton Jackson,IND,2,4,2,0,1631245
R.J. Hampton,MIA,10,6,8,21,1630181
RJ Barrett,TOR,1170,315,193,-153,1629628
RaiQuan Gray,SAS,23,7,6,14,1630564
Rayan Rupert,POR,155,92,62,-124,1641712
Reggie Bullock Jr.,HOU,96,73,15,-53,203493
Reggie Jackson,DEN,833,155,308,79,202704
Richaun Holmes,WAS,199,182,25,-90,1626158
Ricky Council IV,PHI,173,46,16,12,1641741
Robert Covington,PHI,127,97,24,104,203496
Robert Williams III,POR,41,38,5,-30,1629057
Robin Lopez,MIL,18,5,4,-23,201577
Ron Harper Jr.,TOR,0,0,1,-9,1631199
Royce O'Neale,PHX,608,377,219,117,1626220
Rudy Gobert,MIN,1061,982,102,411,203497
Rui Hachimura,LAL,923,294,81,123,1629060
Russell Westbrook,LAC,754,343,306,104,201566
Ryan Arcidiacono,NYK,0,8,4,2,1627853
Ryan Rollins,MIL,44,13,14,62,1631157
Saben Lee,PHX,71,31,30,15,1630240
Saddiq Bey,ATL,863,411,92,-19,1630180
Sam Hauser,BOS,712,276,82,492,1630573
Sam Merrill,CLE,485,120,108,28,1630241
Sandro Mamukelashvili,SAS,190,147,49,45,1630572
Santi Aldama,MEM,654,352,138,-275,1630583
Sasha Vezenkov,SAC,225,96,19,2,1628426
Scoot Henderson,POR,868,194,336,-495,1630703
Scottie Barnes,TOR,1191,494,363,-144,1630567
Scotty Pippen Jr.,MEM,271,67,98,-72,1630590
Seth Curry,CHA,226,68,44,60,203552
Seth Lundy,ATL,14,7,0,-13,1641754
Shaedon Sharpe,POR,510,160,94,-246,1631101
Shai Gilgeous-Alexander,OKC,2254,415,465,613,1628983
Shake Milton,NYK,216,75,60,-46,1629003
Shaquille Harrison,MEM,2,2,0,-11,1627885
Sidy Cissoko,SAS,45,22,10,25,1631321
Simone Fontecchio,DET,692,246,101,-27,1631323
Skylar Mays,LAL,155,43,85,-103,1630219
Spencer Dinwiddie,LAL,795,205,356,67,203915
Stanley Umude,DET,127,51,11,-75,1630649
Stephen Curry,GSW,1956,330,379,189,201939
Svi Mykhailiuk,BOS,162,51,35,149,1629004
T.J. McConnell,IND,727,191,390,95,204456
T.J. Warren,MIN,41,22,9,51,203933
