PLAYER_NAME,TEAM_ABBREVIATION,PTS,REB,AST,PLUS_MINUS,PLAYER_ID
TyTy Washington Jr.,MIL,14,5,5,-13,1631102
Tyler Herro,MIA,875,222,188,31,1629639
Tyrese Haliburton,IND,1389,271,752,294,1630169
Tyrese Maxey,PHI,1816,258,433,303,1630178
Tyus Jones,WAS,790,179,485,-497,1626145
Udoka Azubuike,PHX,35,32,3,-48,1628962
Usman Garuba,GSW,3,7,1,-11,1630586
Vasilije Micić,CHA,422,88,262,-74,203995
Victor Wembanyama,SAS,1522,755,274,-143,1641705
Vince Williams Jr.,MEM,521,290,175,-91,1631246
Vít Krejčí,ATL,135,52,50,1,1630249
Walker Kessler,UTA,518,481,60,-149,1631117
Wendell Carter Jr.,ORL,603,381,95,51,1628976
Wendell Moore Jr.,MIN,18,12,6,-6,1631111
Wenyen Gabriel,MEM,17,25,3,-16,1629117
Wesley Matthews,ATL,110,53,23,-69,202083
Xavier Moon,LAC,33,18,21,-37,1629875
Xavier Tillman,BOS,284,211,77,-60,1630214
Yuta Watanabe,MEM,117,54,15,-66,1629139
Zach Collins,SAS,776,370,194,-393,1628380
Zach LaVine,CHI,487,129,98,-92,203897
Zavier Simpson,MEM,42,20,25,-29,1630285
Zeke Nnaji,DEN,186,125,32,-168,1630192
Ziaire Williams,MEM,420,180,75,-247,1630533
Zion Williamson,NOP,1601,406,352,143,1629627
